# PPM: 66

Time,Pulse
18.16,13338
18.2,13333
18.24,13200
18.28,13528
18.32,13181
18.36,13279
18.4,13361
18.44,13345
18.48,13391
18.52,13407
18.56,13247
18.6,13391
18.64,13254
18.68,13219
18.72,13494
18.76,13141
18.8,13131
18.84,13275
18.88,13383
18.92,13176
18.96,13312
19.0,13129
19.04,13373
19.08,13249
19.12,13248
19.16,13154
19.2,13296
19.24,13229
19.28,13395
19.32,13398
19.36,13306
19.4,13483
19.44,13336
19.48,13271
19.52,13507
19.56,13343
19.6,13150
19.64,13376
19.68,13143
19.72,13276
19.76,13278
19.8,13381
19.84,13184
19.88,13255
19.92,13410
19.96,13096
20.0,13047
20.04,-1
