Pulse
8
7117
24294
24337
24343
24328
24382
24414
15743
6
6
7
12
10
9
9
9
9
10
14
12
10
10
11
11
11
11
11
10
10
12
14
14
12
11
14
13
12
11
10
9
9
10
9
9
9
9
9
9
8
8
7
8
8
9
10
7
10
8
4886
16118
14381
12697
13130
13306
13280
13294
13355
13476
13306
13293
13379
13352
13325
13127
13118
13101
13306
13199
13369
13372
13202
13314
13352
13496
14260
12997
13106
13423
13440
13474
13315
13275
13457
13405
13477
13268
13379
13320
13318
13362
13343
13335
13309
13322
13306
13371
13384
13310
13296
13465
13294
13340
13343
13172
13358
13313
13267
13247
13344
13356
13364
13287
13194
13312
13121
13324
13057
13189
13507
13231
13079
13085
13168
13136
13353
13325
13316
13090
13239
13110
13305
13264
13220
13419
13362
13306
13315
13189
13220
13248
13181
13225
13239
13308
13109
13165
13204
13446
13298
13349
13288
13336
13245
13237
13209
13196
13199
13251
13175
13128
13376
13473
13199
13231
13454
13313
13267
13280
13233
13434
13388
13271
13229
13138
13327
13400
13280
13214
13317
13415
13329
13286
13287
13311
13298
13355
13237
13209
13355
13360
13299
13240
13472
13376
13334
13303
13291
13312
13531
13310
13275
13279
13465
13416
13346
13341
13434
13352
13211
13341
13384
13329
13380
13377
13426
13210
13423
13466
13423
13344
13460
13528
13344
13338
13382
13371
13494
13347
13477
13296
13466
13404
13481
13391
13419
13469
13378
13290
13645
