Pressure [mmHg],Time [s]
0.0,1.6276703967446593
0.025,1.5598507968802984
0.05,1.5598507968802984
0.07500000000000001,1.6276703967446593
0.1,1.6276703967446593
0.125,1.5598507968802984
0.15000000000000002,1.5598507968802984
0.17500000000000002,1.6276703967446593
0.2,1.5598507968802984
0.225,1.4920311970159377
0.25,1.4920311970159377
0.275,1.356391997287216
0.30000000000000004,1.1529331976941335
0.325,1.017293997965412
0.35000000000000003,0.8816547982366904
0.375,0.8138351983723296
0.4,0.8138351983723296
0.42500000000000004,0.8138351983723296
0.45,0.9494743981010512
0.47500000000000003,1.017293997965412
0.5,1.017293997965412
0.525,2.1024075957951847
0.55,2.441505595116989
0.5750000000000001,2.2380467955239065
0.6000000000000001,2.1024075957951847
0.625,1.9667683960664633
0.65,1.9667683960664633
0.675,2.034587995930824
0.7000000000000001,1.9667683960664633
0.7250000000000001,2.034587995930824
0.75,2.1702271956595456
0.775,2.1024075957951847
0.8,2.1024075957951847
0.8250000000000001,2.1024075957951847
0.8500000000000001,2.2380467955239065
0.875,2.2380467955239065
0.9,2.780603594438793
0.925,2.9840623940318753
0.9500000000000001,3.323160393353679
0.9750000000000001,3.5944387928111223
1.0,3.5266191929467614
1.0250000000000001,4.069175991861648
1.05,4.543913190912174
1.075,5.357748389284503
1.1,6.510681586978637
1.125,6.714140386571719
1.1500000000000001,7.121057985757884
1.175,7.188877585622245
1.2000000000000002,7.934893184130214
1.225,7.392336385215327
1.25,5.764665988470668
1.2750000000000001,4.001356391997287
1.3,3.730077992539844
1.3250000000000002,3.6622583926754833
1.35,2.780603594438793
1.375,2.5771447948457102
1.4000000000000001,2.305866395388267
1.425,2.2380467955239065
1.4500000000000002,2.305866395388267
1.475,3.458799593082401
1.5,4.408273991183452
1.5250000000000001,4.340454391319091
1.55,4.476093591047813
1.5750000000000002,3.9335367921329265
1.6,3.5944387928111223
1.625,3.458799593082401
1.6500000000000001,3.2553407934893186
1.675,3.9335367921329265
1.7000000000000002,4.408273991183452
1.725,4.340454391319091
1.75,4.27263479145473
1.7750000000000001,3.1875211936249577
1.8,2.441505595116989
1.8250000000000002,2.1702271956595456
1.85,2.034587995930824
1.875,1.8989487962021023
1.9000000000000001,1.7633095964733807
1.925,1.4242115971515767
1.9500000000000002,1.1529331976941335
1.975,0.8816547982366904
2.0,0.7460155985079688
2.025,1.0851135978297728
2.0500000000000003,1.2207527975584944
2.075,1.9667683960664633
2.1,3.5944387928111223
2.125,6.646320786707358
2.15,6.849779586300441
2.1750000000000003,7.595795184808409
2.2,9.833841980332316
2.225,11.190233977619531
2.25,10.851135978297728
2.275,9.833841980332316
2.3000000000000003,8.613089182773821
2.325,7.867073584265853
2.35,7.256697185486606
2.375,6.442861987114276
2.4000000000000004,6.578501186842997
2.4250000000000003,6.985418786029163
2.45,7.392336385215327
2.475,7.867073584265853
2.5,8.341810783316378
2.5250000000000004,8.4774499830451
2.5500000000000003,8.138351983723297
2.575,8.341810783316378
2.6,8.409630383180739
2.625,8.273991183452017
2.6500000000000004,7.934893184130214
2.6750000000000003,7.460155985079688
2.7,6.985418786029163
2.725,6.646320786707358
2.75,6.103763987792472
2.7750000000000004,6.849779586300441
2.8000000000000003,7.053238385893523
2.825,7.595795184808409
2.85,8.409630383180739
2.875,7.595795184808409
2.9000000000000004,6.103763987792472
2.9250000000000003,5.493387589013225
2.95,5.832485588335029
2.975,6.035944387928112
3.0,6.375042387249915
3.0250000000000004,5.968124788063751
3.0500000000000003,5.493387589013225
3.075,5.968124788063751
3.1,6.307222787385554
3.125,7.66361478467277
3.1500000000000004,9.087826381824348
3.1750000000000003,10.376398779247202
3.2,12.410986775178026
3.225,13.292641573414716
3.25,14.37775517124449
3.2750000000000004,16.00542556798915
3.3000000000000003,16.480162767039676
3.325,18.243472363513057
3.35,20.006781959986437
3.375,20.006781959986437
3.4000000000000004,18.040013563919974
3.4250000000000003,14.106476771787046
3.45,12.343167175313665
3.475,11.461512377076975
3.5,10.783316378433367
3.5250000000000004,9.494743981010512
3.5500000000000003,8.138351983723297
3.575,8.884367582231265
3.6,2.1702271956595456
3.625,0.678195998643608
3.6500000000000004,0.7460155985079688
3.6750000000000003,1.4920311970159377
3.7,1.4242115971515767
3.725,1.2207527975584944
3.75,1.0851135978297728
3.7750000000000004,0.9494743981010512
3.8000000000000003,1.8989487962021023
3.825,2.5093251949813498
3.85,2.305866395388267
3.875,1.6276703967446593
3.9000000000000004,1.017293997965412
3.9250000000000003,0.4747371990505256
3.95,0.2712783994574432
3.975,0.4747371990505256
4.0,0.6103763987792472
4.025,1.8989487962021023
4.05,2.9162427941675144
4.075,2.644964394710071
4.1000000000000005,1.8311291963377416
4.125,0.9494743981010512
4.15,0.9494743981010512
4.175,1.1529331976941335
4.2,2.2380467955239065
4.2250000000000005,2.712783994574432
4.25,2.644964394710071
4.275,2.373685995252628
4.3,1.8989487962021023
4.325,1.356391997287216
4.3500000000000005,1.0851135978297728
4.375,0.7460155985079688
4.4,0.339097999321804
4.425,1.017293997965412
4.45,1.69548999660902
4.4750000000000005,2.034587995930824
4.5,2.373685995252628
4.525,2.644964394710071
4.55,2.9162427941675144
4.575,2.780603594438793
4.6000000000000005,3.9335367921329265
4.625,5.832485588335029
4.65,7.3245167853509665
4.675,8.341810783316378
4.7,7.527975584944048
4.7250000000000005,6.714140386571719
4.75,5.425567989148864
4.775,5.696846388606307
4.800000000000001,5.629026788741946
4.825,5.0864699898270604
4.8500000000000005,4.27263479145473
4.875,5.289928789420142
4.9,7.053238385893523
4.925000000000001,7.867073584265853
4.95,7.867073584265853
4.9750000000000005,8.613089182773821
5.0,9.969481180061038
5.025,10.783316378433367
5.050000000000001,13.903017972193965
5.075,16.751441166497116
5.1000000000000005,17.70091556459817
5.125,17.76873516446253
5.15,18.78602916242794
5.175000000000001,19.192946761614106
5.2,19.59986436080027
5.2250000000000005,19.803323160393354
5.25,20.006781959986437
5.275,19.39640556120719
5.300000000000001,17.972193964055613
5.325,14.649033570701933
5.3500000000000005,11.529331976941336
5.375,9.155645981688709
5.4,6.307222787385554
5.425000000000001,3.7978975924042047
5.45,2.5093251949813498
5.4750000000000005,1.7633095964733807
5.5,0.8816547982366904
5.525,0.7460155985079688
5.550000000000001,0.9494743981010512
5.575,0.5425567989148864
5.6000000000000005,0.9494743981010512
5.625,1.1529331976941335
5.65,1.0851135978297728
5.675000000000001,1.2207527975584944
5.7,1.5598507968802984
5.7250000000000005,1.9667683960664633
5.75,2.5093251949813498
5.775,3.5266191929467614
5.800000000000001,4.476093591047813
5.825,6.78195998643608
5.8500000000000005,8.680908782638182
5.875,9.833841980332316
5.9,12.614445574771109
5.925000000000001,14.106476771787046
5.95,14.581213970837572
5.9750000000000005,14.581213970837572
6.0,15.937605968124789
6.025,13.767378772465243
6.050000000000001,10.444218379111563
6.075,8.138351983723297
6.1000000000000005,6.307222787385554
6.125,3.8657171922685656
6.15,2.305866395388267
6.175000000000001,2.1702271956595456
6.2,4.747371990505256
6.2250000000000005,7.66361478467277
6.25,9.020006781959987
6.275,11.393692777212614
6.300000000000001,12.071888775856223
6.325,13.157002373685994
