# PPM: 78

Time,Pulse
0.0,14132
0.04,9712
0.08,11028
0.12,12543
0.16,13312
0.2,12183
0.24,12293
0.28,12159
0.32,12874
0.36,12330
0.4,12486
0.44,12784
0.48,14109
0.52,14400
0.56,14428
0.6,13226
0.64,13280
0.68,12892
0.72,13042
0.76,13189
0.8,12747
0.84,13228
0.88,12466
0.92,12504
0.96,12186
1.0,12534
1.04,12065
1.08,12697
1.12,12378
1.16,12676
1.2,12850
1.24,14149
1.28,14218
1.32,14156
1.36,12943
1.4,12906
1.44,12608
1.48,12942
1.52,12480
1.56,12911
1.6,12482
1.64,12370
1.68,12234
1.72,12279
1.76,12066
1.8,12321
1.84,12344
1.88,12081
1.92,12495
1.96,13664
2.0,14666
2.04,14274
2.08,13859
2.12,12842
2.16,13146
2.2,12718
2.24,13078
2.28,12664
2.32,13040
2.36,12447
2.4,12478
2.44,11955
2.48,12617
2.52,12104
2.56,12536
2.6,12435
2.64,12111
2.68,12642
2.72,13614
2.76,14135
2.8,14791
2.84,13707
2.88,13604
2.92,12840
2.96,13338
3.0,12841
3.04,13205
3.08,12784
3.12,13031
3.16,12515
3.2,12441
3.24,12245
3.28,12514
3.32,12462
3.36,12490
3.4,12639
3.44,12123
3.48,12529
3.52,13257
3.56,14411
3.6,14206
3.64,14089
3.68,13052
3.72,12997
3.76,12436
3.8,13003
3.84,12648
3.88,12932
3.92,12315
3.96,12538
4.0,12150
4.04,12483
4.08,12251
4.12,12505
4.16,12093
4.2,12268
4.24,12221
4.28,13091
4.32,13919
4.36,14066
4.4,13690
4.44,12913
4.48,12512
4.52,12507
4.56,12696
4.6,12333
4.64,12870
4.68,12351
4.72,12577
4.76,12033
4.8,12550
4.84,12217
4.88,12720
4.92,12104
4.96,12480
5.0,12731
5.04,14200
5.08,14267
5.12,14240
5.16,13419
5.2,12894
5.24,12933
5.28,12977
5.32,12965
5.36,12582
5.4,12788
5.44,12497
5.48,12625
5.52,12131
5.56,12676
5.6,12362
5.64,12904
5.68,12209
5.72,13039
5.76,12611
5.8,14169
5.84,14570
5.88,14563
5.92,13334
5.96,13425
6.0,13182
6.04,13205
6.08,12950
6.12,13050
6.16,12840
6.2,12770
6.24,12652
6.28,12269
6.32,12627
6.36,12385
6.4,12757
6.44,12394
6.48,12493
6.52,12214
6.56,13585
6.6,14085
6.64,14680
6.68,13362
6.72,13227
6.76,12613
6.8,13037
6.84,12670
6.88,13004
6.92,12579
6.96,12686
7.0,12403
7.04,12398
7.08,12375
7.12,12321
7.16,12417
7.2,12463
7.24,12399
7.28,12208
7.32,13500
7.36,14209
7.4,14831
7.44,13889
7.48,13543
7.52,12808
7.56,13175
7.6,12604
7.64,13125
7.68,12624
7.72,12921
7.76,12390
7.8,12377
7.84,12325
7.88,12387
7.92,12434
7.96,12353
8.0,12472
8.04,12264
8.08,12298
8.12,13359
8.16,14665
8.2,14459
8.24,14496
8.28,13007
8.32,13324
8.36,12905
8.4,13324
8.44,12696
8.48,13152
8.52,12695
8.56,12807
8.6,12370
8.64,12768
8.68,12317
8.72,12712
8.76,12540
8.8,12348
8.84,12274
8.88,12242
8.92,12229
8.96,12772
9.0,14002
9.04,14319
9.08,14419
9.12,13132
9.16,13370
9.2,12544
9.24,13020
9.28,12534
9.32,13127
9.36,12535
9.4,12696
9.44,11810
9.48,12545
9.52,11963
9.56,12350
9.6,12038
9.64,12461
9.68,12085
9.72,11928
9.76,12233
9.8,13412
9.84,14382
9.88,14362
9.92,13668
9.96,12797
10.0,12938
10.04,12772
10.08,13066
10.12,12578
10.16,12938
10.2,12277
10.24,12812
10.28,11935
10.32,12375
10.36,11893
10.4,2763
10.44,7529
10.48,12938
10.52,13463
10.56,12619
10.6,12592
10.64,13477
10.68,14734
10.72,14438
10.76,13025
10.8,12669
10.84,12959
10.88,12621
10.92,13299
10.96,12744
11.0,13031
11.04,12484
11.08,12601
11.12,12321
11.16,12837
11.2,12218
11.24,12767
11.28,12456
11.32,12716
11.36,12491
11.4,12458
11.44,11991
11.48,13600
11.52,13910
11.56,14420
11.6,14021
11.64,13204
11.68,12833
11.72,12912
11.76,13184
11.8,12977
11.84,12975
11.88,12526
11.92,12678
11.96,12224
12.0,12605
12.04,11877
12.08,12755
12.12,12283
12.16,12561
12.2,12036
12.24,12585
12.28,12340
12.32,13534
12.36,13917
12.4,13679
12.44,13466
12.48,12796
12.52,12763
12.56,13194
12.6,13045
12.64,12333
12.68,12859
12.72,12587
12.76,12821
12.8,12049
12.84,13017
12.88,12205
12.92,12742
12.96,12364
13.0,12686
13.04,12332
13.08,13328
13.12,13814
13.16,14637
13.2,14276
13.24,13470
13.28,13243
13.32,13433
13.36,12793
13.4,13348
13.44,12648
13.48,12473
13.52,13096
13.56,12866
13.6,12909
13.64,12333
13.68,12981
13.72,12381
13.76,12605
13.8,12388
13.84,13275
13.88,13605
13.92,14585
13.96,13561
14.0,13376
14.04,12781
14.08,13201
14.12,13091
14.16,13215
14.2,12813
14.24,13298
14.28,13010
14.32,12350
14.36,12425
14.4,12328
14.44,12479
14.48,12264
14.52,13034
14.56,13183
14.6,14338
14.64,14064
14.68,13676
14.72,13191
14.76,13052
14.8,12360
14.84,13303
14.88,12761
14.92,12842
14.96,12283
15.0,12811
15.04,12270
15.08,12695
15.12,12360
15.16,12451
15.2,12881
15.24,13845
15.28,15001
15.32,14416
15.36,13963
15.4,13006
15.44,13198
15.48,13318
15.52,13348
15.56,12454
15.6,12881
15.64,12401
15.68,12835
15.72,12200
15.76,12927
15.8,12481
15.84,12655
15.88,12057
15.92,13267
15.96,14731
16.0,14939
16.04,14189
16.08,13646
16.12,13182
16.16,13269
16.2,13283
16.24,12818
16.28,12949
16.32,12614
16.36,12895
16.4,12130
16.44,12397
16.48,12187
16.52,12235
16.56,12543
16.6,12545
16.64,11598
16.68,12512
16.72,11980
16.76,12407
16.8,12392
16.84,13909
16.88,15268
16.92,15332
16.96,14272
17.0,13643
17.04,13153
17.08,13469
17.12,13806
17.16,12998
17.2,13733
17.24,12666
17.28,12572
17.32,12270
17.36,12428
17.4,12351
17.44,12865
17.48,12075
17.52,12662
17.56,12217
17.6,12556
17.64,12162
17.68,12511
17.72,12386
17.76,13649
17.8,14541
17.84,14890
17.88,14230
17.92,12899
17.96,13006
18.0,12935
18.04,12735
18.08,12453
18.12,12591
18.16,12981
18.2,12346
18.24,11828
18.28,12231
18.32,12288
18.36,12665
18.4,12053
18.44,12563
18.48,11890
18.52,12423
18.56,12186
18.6,13629
18.64,14557
18.68,14807
18.72,13679
18.76,13191
