# PPM: 75

Time,Pulse
0.0,11197
0.04,8155
0.08,11303
0.12,11592
0.16,12092
0.2,13581
0.24,14003
0.28,13215
0.32,13219
0.36,12334
0.4,12746
0.44,12636
0.48,12933
0.52,13108
0.56,13538
0.6,13304
0.64,13376
0.68,12891
0.72,12874
0.76,12683
0.8,13379
0.84,13191
0.88,13814
0.92,13244
0.96,13253
1.0,12802
1.04,13178
1.08,12944
1.12,13262
1.16,12919
1.2,13148
1.24,12796
1.28,13104
1.32,12877
1.36,13231
1.4,12798
1.44,13139
1.48,13533
1.52,13626
1.56,12992
1.6,13057
1.64,13029
1.68,13506
1.72,13054
1.76,13203
1.8,13085
1.84,13217
1.88,13074
1.92,13295
1.96,13173
2.0,13135
2.04,12915
2.08,12985
2.12,13329
2.16,13558
2.2,13691
2.24,13552
2.28,13482
2.32,13210
2.36,13141
2.4,13230
2.44,13312
2.48,13550
2.52,13010
2.56,12977
2.6,13142
2.64,13183
2.68,13085
2.72,13058
2.76,13129
2.8,13054
2.84,13509
2.88,13476
2.92,13651
2.96,13211
3.0,14463
3.04,12785
3.08,12869
3.12,12850
3.16,12968
3.2,12903
3.24,12850
3.28,13065
3.32,12845
3.36,12677
3.4,12953
3.44,12710
3.48,13155
3.52,13155
3.56,13630
3.6,13279
3.64,12933
3.68,13281
3.72,12883
3.76,13273
3.8,13871
3.84,13447
3.88,12890
3.92,12716
3.96,13158
4.0,12963
4.04,13289
4.08,13161
4.12,13344
4.16,13220
4.2,13479
4.24,13162
4.28,13166
4.32,12969
4.36,13096
4.4,12947
4.44,12909
4.48,12849
4.52,12989
4.56,12748
4.6,12990
4.64,12771
4.68,12913
4.72,13014
4.76,13173
4.8,13243
4.84,13094
4.88,13496
4.92,13280
4.96,12753
5.0,12934
5.04,12807
5.08,12939
5.12,12793
5.16,13028
5.2,12823
5.24,12966
5.28,12841
5.32,13123
5.36,13135
5.4,13525
5.44,13244
5.48,13068
5.52,13124
5.56,13010
5.6,13057
5.64,13140
5.68,12885
5.72,13159
5.76,12944
5.8,12977
5.84,12874
5.88,12852
5.92,13266
5.96,13472
6.0,13655
6.04,13535
6.08,13292
6.12,13299
6.16,13098
6.2,13286
6.24,13242
6.28,13240
6.32,13108
6.36,12966
6.4,12916
6.44,13077
6.48,12845
6.52,13053
6.56,13262
6.6,13632
6.64,13609
6.68,13453
6.72,13251
6.76,13107
6.8,13293
6.84,13202
6.88,13205
6.92,13115
6.96,13216
7.0,12998
7.04,13130
7.08,12504
