Tiempo (segundos),Presión (mmHg)
0.0,-0.6756756756756757
0.025,-0.6756756756756757
0.05,-0.6756756756756757
0.07500000000000001,-0.6756756756756757
0.1,-0.6756756756756757
0.125,-0.6756756756756757
0.15000000000000002,-0.6756756756756757
0.17500000000000002,-0.6756756756756757
0.2,-0.6756756756756757
0.225,-0.6756756756756757
0.25,-0.6756756756756757
0.275,-0.6756756756756757
0.30000000000000004,-0.6756756756756757
0.325,-0.6756756756756757
0.35000000000000003,-0.6756756756756757
0.375,-0.6756756756756757
0.4,-0.6756756756756757
0.42500000000000004,-0.6081081081081081
0.45,-0.6081081081081081
0.47500000000000003,-0.5405405405405406
0.5,-0.40540540540540543
0.525,-0.13513513513513514
0.55,0.33783783783783783
0.5750000000000001,1.2837837837837838
0.6000000000000001,2.364864864864865
0.625,3.7837837837837838
0.65,4.9324324324324325
0.675,7.027027027027027
0.7000000000000001,8.91891891891892
0.7250000000000001,9.391891891891891
0.75,8.58108108108108
0.775,7.972972972972973
0.8,7.5675675675675675
0.8250000000000001,7.297297297297297
0.8500000000000001,7.094594594594595
0.875,6.95945945945946
0.9,6.824324324324325
0.925,6.756756756756757
0.9500000000000001,8.31081081081081
0.9750000000000001,11.08108108108108
1.0,14.662162162162161
1.0250000000000001,19.12162162162162
1.05,23.243243243243242
1.075,23.716216216216218
1.1,21.41891891891892
1.125,20.60810810810811
1.1500000000000001,19.93243243243243
1.175,19.39189189189189
1.2000000000000002,19.18918918918919
1.225,18.85135135135135
1.25,18.58108108108108
1.2750000000000001,18.243243243243242
1.3,20.87837837837838
1.3250000000000002,26.95945945945946
1.35,35.2027027027027
1.375,45.0
1.4000000000000001,54.7972972972973
1.425,58.91891891891892
1.4500000000000002,55.87837837837838
1.475,53.91891891891892
1.5,52.5
1.5250000000000001,51.75675675675676
1.55,50.945945945945944
1.5750000000000002,50.33783783783784
1.6,49.86486486486486
1.625,49.391891891891895
1.6500000000000001,48.986486486486484
1.675,48.78378378378378
1.7000000000000002,48.851351351351354
1.725,48.78378378378378
1.75,48.58108108108108
1.7750000000000001,52.9054054054054
1.8,64.1891891891892
1.8250000000000002,78.3108108108108
1.85,93.71621621621621
1.875,107.70270270270271
1.9000000000000001,114.79729729729729
1.925,112.02702702702703
1.9500000000000002,109.39189189189189
1.975,107.5
2.0,106.08108108108108
2.025,105.06756756756756
2.0500000000000003,104.1891891891892
2.075,103.24324324324324
2.1,102.56756756756756
2.125,101.89189189189189
2.15,101.21621621621621
2.1750000000000003,100.60810810810811
2.2,100.13513513513513
2.225,99.52702702702703
2.25,99.45945945945945
2.275,99.45945945945945
2.3000000000000003,108.37837837837837
2.325,123.10810810810811
2.35,138.9189189189189
2.375,152.77027027027026
2.4000000000000004,160.06756756756758
2.4250000000000003,158.17567567567568
2.45,155.8783783783784
2.475,154.25675675675674
2.5,152.90540540540542
2.5250000000000004,151.55405405405406
2.5500000000000003,150.8108108108108
2.575,149.93243243243242
2.6,149.25675675675674
2.625,148.51351351351352
2.6500000000000004,147.83783783783784
2.6750000000000003,147.36486486486487
2.7,146.6891891891892
2.725,146.14864864864865
2.75,145.67567567567568
2.7750000000000004,145.27027027027026
2.8000000000000003,145.0
2.825,144.66216216216216
2.85,144.1216216216216
2.875,143.64864864864865
2.9000000000000004,143.1081081081081
2.9250000000000003,142.77027027027026
