# PPM: 67

Time,Pulse
0.0,11740
0.04,13937
0.08,13985
0.12,15039
0.16,13460
0.2,12578
0.24,15697
0.28,12946
0.32,13777
0.36,13024
0.4,13411
0.44,14221
0.48,14872
0.52,13164
0.56,14305
0.6,13259
0.64,15920
0.68,13929
0.72,13345
0.76,14984
0.8,17077
0.84,14102
0.88,13270
0.92,16215
0.96,12934
1.0,10870
1.04,13313
1.08,15515
1.12,16004
1.16,14715
1.2,11543
1.24,15102
1.28,13311
1.32,15221
1.36,11819
1.4,14848
1.44,20222
1.48,16612
1.52,13142
1.56,15626
1.6,12260
1.64,9774
1.68,12311
1.72,11986
1.76,11876
1.8,13663
1.84,18329
1.88,17840
1.92,11901
1.96,11395
2.0,14510
2.04,17783
2.08,13631
2.12,10797
2.16,17703
2.2,12109
2.24,9582
2.28,9331
2.32,15413
2.36,13350
2.4,13738
2.44,15791
2.48,16973
2.52,10027
2.56,11999
2.6,14206
2.64,15507
2.68,13687
2.72,11558
2.76,12776
2.8,17609
2.84,20047
2.88,15554
2.92,15128
2.96,10776
3.0,12074
3.04,14235
3.08,13255
3.12,11669
3.16,13788
3.2,13468
3.24,13944
3.28,10752
3.32,12653
3.36,14286
3.4,14337
3.44,17859
3.48,16914
3.52,10991
3.56,11005
3.6,14813
3.64,17035
3.68,13643
3.72,13355
3.76,11161
3.8,10480
3.84,16068
3.88,16922
3.92,16650
3.96,17793
4.0,18859
4.04,17758
4.08,17314
4.12,16206
4.16,16604
4.2,15985
4.24,16375
4.28,15929
4.32,16172
4.36,15505
4.4,15742
4.44,16038
4.48,17183
4.52,16614
4.56,15538
4.6,15301
4.64,14939
4.68,15481
4.72,14877
4.76,15311
4.8,14674
4.84,15117
4.88,414
4.92,610
4.96,5215
5.0,11947
5.04,13912
5.08,10156
5.12,11595
5.16,11725
5.2,17254
5.24,12060
5.28,13644
5.32,11869
5.36,14219
5.4,12148
5.44,12513
5.48,14257
5.52,18450
5.56,11196
5.6,9404
5.64,9820
5.68,13718
5.72,13510
5.76,16233
5.8,12675
5.84,11609
5.88,12962
5.92,18540
5.96,21056
6.0,20644
6.04,16056
6.08,8823
6.12,16996
6.16,13447
6.2,15670
6.24,11317
6.28,11558
6.32,12178
6.36,14402
6.4,7587
6.44,9698
6.48,10106
6.52,16240
6.56,23210
6.6,21077
6.64,14344
6.68,12141
6.72,12760
6.76,15175
6.8,16192
6.84,14878
6.88,15895
6.92,13791
6.96,16303
7.0,12364
7.04,13390
7.08,8603
7.12,9447
7.16,9186
7.2,15499
7.24,12799
7.28,14649
7.32,18630
7.36,15196
7.4,12474
7.44,15591
7.48,17717
7.52,17206
7.56,15370
7.6,4303
7.64,2003
7.68,5979
7.72,11013
7.76,16912
7.8,17283
7.84,13010
7.88,16436
7.92,10811
7.96,9603
8.0,12476
8.04,13258
8.08,9959
8.12,14534
8.16,10616
8.2,13319
8.24,12529
8.28,14094
8.32,14434
8.36,16152
8.4,14196
8.44,12290
8.48,11724
8.52,12094
8.56,15061
8.6,12836
8.64,9502
8.68,9981
8.72,10898
8.76,15330
8.8,14267
8.84,14706
8.88,17903
8.92,17843
8.96,14431
9.0,10093
9.04,16841
9.08,18339
9.12,11140
9.16,10156
9.2,11285
9.24,10014
9.28,11448
9.32,16536
9.36,13952
9.4,13239
9.44,15968
9.48,20041
9.52,19287
9.56,24831
9.6,23890
9.64,24852
9.68,19886
9.72,18413
9.76,9236
9.8,12399
9.84,10265
