# PPM: 67

Time,Pulse
0.0,13911
0.04,13890
0.08,13998
0.12,13907
0.16,13950
0.2,13836
0.24,13957
0.28,13807
0.32,13994
0.36,13876
0.4,13925
0.44,13806
0.48,14035
0.52,13896
0.56,14052
0.6,13848
0.64,13964
0.68,13875
0.72,14014
0.76,13867
0.8,13976
0.84,13887
0.88,13946
0.92,13891
0.96,13890
1.0,13953
1.04,13880
1.08,13954
1.12,13879
1.16,13988
1.2,13820
1.24,13938
1.28,13903
1.32,14075
1.36,13912
1.4,14067
1.44,13896
1.48,14056
1.52,13847
1.56,13974
1.6,13878
1.64,14033
1.68,13939
1.72,14001
1.76,13957
1.8,13913
1.84,13951
1.88,13876
1.92,13993
1.96,13851
2.0,13985
2.04,13878
2.08,13999
2.12,13876
2.16,14024
2.2,13903
2.24,14037
2.28,13879
2.32,14023
2.36,13847
2.4,13945
2.44,13865
2.48,14000
2.52,13945
2.56,13992
2.6,14024
2.64,13882
2.68,13922
2.72,13885
2.76,13989
2.8,13874
2.84,14001
2.88,13860
2.92,14004
2.96,13881
3.0,14017
3.04,13864
3.08,14029
3.12,13874
3.16,14032
3.2,13846
3.24,14012
3.28,13865
3.32,13959
3.36,13931
3.4,13940
3.44,13959
3.48,13918
3.52,13969
3.56,13881
3.6,13959
3.64,13844
3.68,14009
3.72,13853
3.76,14021
3.8,13850
3.84,14003
3.88,13866
3.92,13979
3.96,13830
4.0,13985
4.04,13893
4.08,13999
4.12,13897
4.16,13947
4.2,13948
4.24,13898
4.28,13926
4.32,13869
4.36,13974
4.4,13907
4.44,13988
4.48,13847
4.52,14020
4.56,13856
4.6,14017
4.64,13835
4.68,13962
4.72,13835
4.76,13988
4.8,13858
4.84,13977
4.88,13851
4.92,13931
4.96,13895
5.0,13893
5.04,13904
5.08,13879
5.12,14041
5.16,13869
5.2,14027
5.24,13868
5.28,13979
5.32,13878
5.36,13993
5.4,13840
5.44,14004
5.48,13863
5.52,14038
5.56,13863
5.6,13985
5.64,13892
5.68,13984
5.72,13848
5.76,13987
5.8,13958
5.84,14014
5.88,13939
5.92,13881
5.96,13979
6.0,13893
6.04,13996
6.08,13844
6.12,14003
6.16,13885
6.2,13996
6.24,13858
6.28,14020
6.32,13869
6.36,13978
6.4,13834
6.44,14038
6.48,13897
6.52,14058
6.56,13903
6.6,14004
6.64,13883
6.68,13980
6.72,13889
6.76,13923
6.8,13944
6.84,13970
6.88,13986
6.92,13825
6.96,13946
7.0,13863
7.04,13967
7.08,13858
7.12,14034
7.16,13853
7.2,14078
7.24,13935
7.28,14026
7.32,13853
7.36,13981
7.4,13872
7.44,14016
7.48,13940
7.52,13964
7.56,13914
7.6,13920
7.64,13963
7.68,13885
7.72,14018
7.76,13855
7.8,13974
7.84,13906
7.88,14069
7.92,13941
7.96,14063
8.0,13907
8.04,14018
8.08,13867
8.12,14004
8.16,13888
8.2,14025
8.24,13865
8.28,13986
8.32,13908
8.36,13979
8.4,13961
8.44,13987
8.48,13968
8.52,13900
8.56,13983
8.6,13974
8.64,14084
8.68,13992
8.72,14140
8.76,13934
8.8,13828
8.84,13740
8.88,14076
8.92,13925
8.96,13938
9.0,13778
9.04,14060
9.08,13945
9.12,13976
9.16,13828
9.2,13968
9.24,13944
9.28,13863
9.32,13931
9.36,13929
9.4,14047
9.44,14008
9.48,14111
9.52,13940
9.56,14009
9.6,13890
9.64,13981
9.68,13830
9.72,13990
9.76,13911
9.8,14023
9.84,13788
9.88,13819
9.92,13782
9.96,13963
10.0,13946
10.04,13950
10.08,13863
10.12,13802
10.16,13947
10.2,13936
10.24,13973
10.28,13917
10.32,13981
10.36,13882
10.4,13984
10.44,13924
