Time [s],Pressure [mmHg]
0.0,2.373685995252628
0.025,2.1702271956595456
0.05,2.2380467955239065
0.07500000000000001,2.305866395388267
0.1,2.1702271956595456
0.125,2.305866395388267
0.15000000000000002,2.441505595116989
0.17500000000000002,2.1702271956595456
0.2,2.373685995252628
0.225,2.644964394710071
0.25,2.373685995252628
0.275,2.712783994574432
0.30000000000000004,2.8484231943031535
0.325,2.441505595116989
0.35000000000000003,2.5771447948457102
0.375,2.644964394710071
0.4,2.441505595116989
0.42500000000000004,2.5771447948457102
0.45,2.5093251949813498
0.47500000000000003,2.644964394710071
0.5,3.323160393353679
0.525,3.1197015937605967
0.55,2.8484231943031535
0.5750000000000001,3.1875211936249577
0.6000000000000001,2.9840623940318753
0.625,2.9162427941675144
0.65,5.289928789420142
0.675,11.393692777212614
0.7000000000000001,12.410986775178026
0.7250000000000001,10.037300779925399
0.75,15.32722956934554
0.775,21.498813157002374
0.8,18.582570362834858
0.8250000000000001,18.311291963377418
0.8500000000000001,27.73821634452357
0.875,30.451000339097998
0.9,26.720922346558154
0.925,33.16378433367243
0.9500000000000001,41.77687351644625
0.9750000000000001,40.4883011190234
1.0,41.57341471685317
1.0250000000000001,52.56018989487962
1.05,57.30756188538488
1.075,55.40861308918277
1.1,63.275686673448625
1.125,73.78772465242454
1.1500000000000001,74.26246185147508
1.175,77.11088504577823
1.2000000000000002,89.38623262122753
1.225,94.87962021024076
1.25,93.79450661241098
1.2750000000000001,104.57782299084435
1.3,114.47948457104103
1.3250000000000002,114.27602577144795
1.35,120.65106815869787
1.375,133.80807053238385
1.4000000000000001,134.6219057307562
1.425,138.35198372329603
1.4500000000000002,152.86537809426923
1.475,155.03560528992878
1.5,157.2736520854527
1.5250000000000001,170.15937605968125
1.55,175.4493048491014
1.5750000000000002,175.9240420481519
1.6,188.13157002373686
1.625,194.37097321125805
1.6500000000000001,193.89623601220754
1.675,204.3404543913191
1.7000000000000002,207.52797558494404
1.725,206.578501186843
1.75,204.27263479145472
1.7750000000000001,202.17022719565955
1.8,199.4574432010851
1.8250000000000002,197.7619532044761
1.85,195.79518480840963
1.875,194.50661241098678
1.9000000000000001,192.94676161410646
1.925,191.86164801627672
1.9500000000000002,190.36961681926076
1.975,189.55578162088844
2.0,188.19938962360123
2.025,187.45337402509324
2.0500000000000003,186.23262122753476
2.075,185.41878602916242
2.1,184.46931163106137
2.125,183.51983723296033
2.15,182.63818243472363
2.1750000000000003,181.62088843675824
2.2,180.94269243811462
2.225,179.85757884028484
2.25,179.17938284164123
2.275,178.22990844354018
2.3000000000000003,177.6873516446253
2.325,176.87351644625298
2.35,176.53441844693117
2.375,175.7884028484232
2.4000000000000004,175.24584604950832
2.4250000000000003,174.2285520515429
2.45,173.685995252628
2.475,172.6687012546626
2.5,172.3296032553408
2.5250000000000004,171.24448965751102
2.5500000000000003,170.97321125805357
2.575,170.0915564598169
2.6,169.6846388606307
2.625,168.93862326212275
2.6500000000000004,168.39606646320786
2.6750000000000003,167.6500508646999
2.7,167.107494065785
2.725,166.42929806714142
2.75,165.7511020684978
2.7750000000000004,165.2085452695829
2.8000000000000003,164.46252967107495
2.825,164.0556120718888
2.85,163.24177687351644
2.875,162.83485927433028
2.9000000000000004,162.08884367582232
2.9250000000000003,161.7497456765005
2.95,160.9359104781282
2.975,160.73245167853509
3.0,159.85079688029842
3.0250000000000004,159.6473380807053
3.0500000000000003,158.69786368260426
3.075,158.49440488301119
3.1,157.81620888436757
3.125,157.88402848423195
3.1500000000000004,157.2736520854527
3.1750000000000003,156.79891488640217
3.2,156.0528992878942
3.225,155.64598168870805
3.25,155.03560528992878
3.2750000000000004,154.62868769074262
3.3000000000000003,154.22177009155646
3.325,153.6113936927772
3.35,153.40793489318412
3.375,152.72973889454053
3.4000000000000004,152.39064089521872
3.4250000000000003,151.7124448965751
3.45,151.44116649711768
3.475,150.6951508986097
3.5,150.4916920990166
3.5250000000000004,149.81349610037302
3.5500000000000003,149.61003730077994
3.575,148.93184130213632
3.6,148.72838250254324
3.625,148.05018650389962
3.6500000000000004,147.9145473041709
3.6750000000000003,147.30417090539166
3.7,147.03289250593423
3.725,146.42251610715496
3.75,146.15123770769753
3.7750000000000004,145.54086130891827
3.8000000000000003,145.26958290946084
3.825,144.93048491013903
3.85,144.72702611054595
3.875,144.72702611054595
3.9000000000000004,144.2522889114954
3.9250000000000003,143.84537131230925
3.95,143.0993557138013
3.975,142.76025771447948
4.0,142.08206171583586
4.025,141.74296371651408
4.05,141.13258731773482
4.075,141.06476771787047
4.1000000000000005,140.38657171922685
4.125,140.3187521193625
4.15,139.64055612071888
4.175,139.50491692099015
4.2,138.7589013224822
4.2250000000000005,138.5554425228891
4.25,138.01288572397422
4.275,137.80942692438114
4.3,137.26687012546626
4.325,136.99559172600883
4.3500000000000005,136.58867412682264
4.375,136.11393692777213
4.4,135.77483892845032
4.425,135.36792132926416
4.45,135.16446252967108
4.4750000000000005,134.6219057307562
4.5,134.41844693116312
4.525,133.87589013224823
4.55,133.7402509325195
4.575,133.1976941336046
4.6000000000000005,133.1976941336046
4.625,132.99423533401153
4.65,133.26551373346896
4.675,132.58731773482538
4.7,132.45167853509665
4.7250000000000005,131.70566293658868
4.75,131.5022041369956
4.775,130.89182773821634
4.800000000000001,130.68836893862326
4.825,130.01017293997967
4.8500000000000005,129.80671414038656
4.875,129.46761614106478
4.9,128.99287894201424
4.925000000000001,128.65378094269244
4.95,128.24686334350628
4.9750000000000005,127.90776534418447
5.0,127.43302814513395
5.025,127.1617497456765
5.050000000000001,126.61919294676161
5.075,126.41573414716854
5.1000000000000005,125.80535774838928
5.125,125.73753814852492
5.15,125.19498134961003
5.175000000000001,125.12716174974568
5.2,124.5846049508308
5.2250000000000005,124.51678535096643
5.25,123.90640895218718
5.275,123.77076975245846
