# PPM: 67

Time,Pulse
0.0,16088
0.04,13870
0.08,14188
0.12,13585
0.16,14049
0.2,13770
0.24,14227
0.28,13618
0.32,14020
0.36,13458
0.4,14025
0.44,13589
0.48,14082
0.52,13582
0.56,13993
0.6,13813
0.64,14369
0.68,14100
0.72,14021
0.76,13816
0.8,14000
0.84,13985
0.88,13797
0.92,13948
0.96,13657
1.0,13998
1.04,13579
1.08,14050
1.12,13612
1.16,13999
1.2,13621
1.24,14367
1.28,13942
1.32,14321
1.36,13687
1.4,14213
1.44,13806
1.48,14132
1.52,13646
1.56,13977
1.6,13661
1.64,13912
1.68,13723
1.72,13818
1.76,13772
1.8,13642
1.84,13964
1.88,14058
1.92,14422
1.96,13955
2.0,14213
2.04,13777
2.08,14320
2.12,13701
2.16,14169
2.2,13580
2.24,14096
2.28,13614
2.32,14059
2.36,13657
2.4,14001
2.44,13656
2.48,13930
2.52,14119
2.56,14462
2.6,14224
2.64,13785
2.68,13907
2.72,13934
2.76,14135
2.8,13818
2.84,14058
2.88,13581
2.92,14116
2.96,13673
3.0,14090
3.04,13673
3.08,14141
3.12,13556
3.16,14182
3.2,13953
3.24,14498
3.28,13977
3.32,14097
3.36,13787
3.4,14272
3.44,13937
3.48,14023
3.52,13732
3.56,13897
3.6,13938
3.64,13885
3.68,13950
3.72,13721
3.76,13995
3.8,13687
3.84,14018
3.88,13689
3.92,14504
3.96,14086
4.0,14440
4.04,13696
4.08,14242
4.12,13823
4.16,14234
4.2,13761
4.24,14065
4.28,13697
4.32,14040
4.36,13854
4.4,13934
4.44,13777
4.48,13808
4.52,13883
4.56,13768
4.6,14040
4.64,14083
4.68,14499
4.72,14055
4.76,14221
4.8,13786
4.84,14310
4.88,13788
4.92,14236
4.96,13593
5.0,14164
5.04,13661
5.08,14168
5.12,13671
5.16,14055
5.2,13650
5.24,14077
5.28,13623
5.32,14018
5.36,14106
5.4,14354
5.44,14200
5.48,13974
5.52,14041
5.56,14118
5.6,14101
5.64,13811
5.68,14141
5.72,13720
5.76,14160
5.8,13682
5.84,14134
5.88,13617
5.92,14095
5.96,13568
6.0,14116
6.04,13637
6.08,14170
6.12,14074
6.16,14484
6.2,14008
6.24,14167
6.28,13992
6.32,14230
6.36,13954
6.4,13956
6.44,13967
6.48,13821
6.52,14001
6.56,13721
6.6,14045
6.64,13679
6.68,14061
6.72,13595
6.76,14157
6.8,13551
6.84,14215
6.88,13958
6.92,14467
6.96,13843
7.0,14147
7.04,13856
7.08,14265
7.12,13890
7.16,14037
7.2,13776
7.24,13886
7.28,13768
7.32,13812
7.36,13915
7.4,13834
7.44,13964
7.48,13743
7.52,13843
7.56,13742
7.6,14432
7.64,14018
7.68,14418
7.72,13755
7.76,14302
7.8,13862
7.84,14237
7.88,13731
7.92,14169
7.96,13679
8.0,14108
8.04,13677
8.08,14062
8.12,13706
8.16,14028
8.2,13731
8.24,13882
8.28,13927
8.32,14238
8.36,14298
8.4,14067
8.44,14096
8.48,13919
8.52,14255
8.56,13769
8.6,14147
8.64,13659
8.68,14147
8.72,13657
8.76,14186
8.8,13749
8.84,14186
8.88,13622
8.92,14069
8.96,13615
9.0,14133
9.04,14008
9.08,14424
9.12,13985
9.16,14032
9.2,13910
9.24,14059
9.28,14042
9.32,13955
9.36,14038
9.4,13843
9.44,14060
9.48,13691
9.52,14064
9.56,13713
9.6,14095
9.64,13664
9.68,14068
9.72,13722
9.76,14590
9.8,14216
9.84,14534
9.88,13823
9.92,14272
9.96,13901
10.0,14309
10.04,13855
10.08,14103
10.12,13857
10.16,14143
10.2,13880
10.24,13921
10.28,13838
10.32,13828
10.36,14004
10.4,13763
10.44,14069
10.48,13649
10.52,14347
10.56,14194
10.6,14774
10.64,14058
10.68,14452
10.72,13915
10.76,14409
10.8,13836
10.84,14314
10.88,13777
10.92,14092
10.96,13736
11.0,14076
11.04,13788
11.08,14009
11.12,13787
11.16,13838
11.2,13781
11.24,13852
11.28,13867
11.32,13745
11.36,14178
11.4,14268
11.44,14577
11.48,14090
11.52,14317
11.56,13846
11.6,14312
11.64,13757
11.68,14208
11.72,13618
11.76,14124
11.8,13621
11.84,14089
11.88,13698
11.92,14043
11.96,13643
