Pressure [mmHg],Time [s]
0.0,-0.13513513513513514
0.025,-0.20270270270270271
0.05,-0.20270270270270271
0.07500000000000001,-0.20270270270270271
0.1,-0.13513513513513514
0.125,-0.13513513513513514
0.15000000000000002,0.20270270270270271
0.17500000000000002,0.9459459459459459
0.2,1.4864864864864864
0.225,2.1621621621621623
0.25,2.9054054054054053
0.275,2.9054054054054053
0.30000000000000004,2.5
0.325,2.1621621621621623
0.35000000000000003,2.027027027027027
0.375,1.9594594594594594
0.4,1.8243243243243243
0.42500000000000004,1.7567567567567568
0.45,1.6891891891891893
0.47500000000000003,2.1621621621621623
0.5,3.175675675675676
0.525,4.527027027027027
0.55,5.945945945945946
0.5750000000000001,6.6891891891891895
0.6000000000000001,6.148648648648648
0.625,5.675675675675675
0.65,5.405405405405405
0.675,5.202702702702703
0.7000000000000001,5.135135135135135
0.7250000000000001,5.0675675675675675
0.75,5.0675675675675675
0.775,5.878378378378378
0.8,7.4324324324324325
0.8250000000000001,9.324324324324325
0.8500000000000001,11.216216216216216
0.875,11.95945945945946
0.9,11.14864864864865
0.925,10.675675675675675
0.9500000000000001,10.337837837837839
0.9750000000000001,10.202702702702704
1.0,9.932432432432432
1.0250000000000001,9.797297297297296
1.05,9.662162162162161
1.075,9.594594594594595
1.1,9.594594594594595
1.125,11.08108108108108
1.1500000000000001,13.58108108108108
1.175,16.89189189189189
1.2000000000000002,19.864864864864863
1.225,21.013513513513512
1.25,19.66216216216216
1.2750000000000001,18.85135135135135
1.3,18.31081081081081
1.3250000000000002,17.905405405405407
1.35,17.635135135135137
1.375,17.364864864864863
1.4000000000000001,17.16216216216216
1.425,17.027027027027028
1.4500000000000002,16.95945945945946
1.475,18.243243243243242
1.5,21.216216216216218
1.5250000000000001,25.405405405405407
1.55,29.864864864864863
1.5750000000000002,32.9054054054054
1.6,33.04054054054054
1.625,31.283783783783782
1.6500000000000001,30.2027027027027
1.675,29.527027027027028
1.7000000000000002,29.054054054054053
1.725,28.58108108108108
1.75,28.175675675675677
1.7750000000000001,27.905405405405407
1.8,27.635135135135137
1.8250000000000002,27.43243243243243
1.85,28.37837837837838
1.875,32.770270270270274
1.9000000000000001,39.054054054054056
1.925,46.013513513513516
1.9500000000000002,51.21621621621622
1.975,52.027027027027025
2.0,49.7972972972973
2.025,48.58108108108108
2.0500000000000003,47.63513513513514
2.075,46.95945945945946
2.1,46.351351351351354
2.125,45.810810810810814
2.15,45.4054054054054
2.1750000000000003,45.067567567567565
2.2,44.729729729729726
2.225,44.32432432432432
2.25,44.12162162162162
2.275,47.16216216216216
2.3000000000000003,54.189189189189186
2.325,62.7027027027027
2.35,71.35135135135135
2.375,77.22972972972973
2.4000000000000004,77.22972972972973
2.4250000000000003,75.13513513513513
2.45,73.64864864864865
2.475,72.56756756756756
2.5,71.62162162162163
2.5250000000000004,70.8108108108108
2.5500000000000003,70.06756756756756
2.575,69.39189189189189
2.6,68.91891891891892
2.625,68.51351351351352
2.6500000000000004,68.17567567567568
2.6750000000000003,68.24324324324324
2.7,75.54054054054055
2.725,86.82432432432432
2.75,98.24324324324324
2.7750000000000004,106.28378378378379
2.8000000000000003,107.36486486486487
2.825,104.12162162162163
2.85,102.29729729729729
2.875,100.87837837837837
2.9000000000000004,99.79729729729729
2.9250000000000003,99.12162162162163
2.95,99.25675675675676
2.975,99.05405405405405
3.0,98.51351351351352
3.0250000000000004,97.97297297297297
3.0500000000000003,97.36486486486487
3.075,96.6891891891892
3.1,95.94594594594595
3.125,98.64864864864865
3.1500000000000004,110.27027027027027
3.1750000000000003,124.1891891891892
3.2,136.0810810810811
3.225,141.28378378378378
3.25,138.5810810810811
3.2750000000000004,136.35135135135135
3.3000000000000003,134.59459459459458
3.325,133.17567567567568
3.35,132.09459459459458
3.375,130.94594594594594
3.4000000000000004,130.13513513513513
3.4250000000000003,129.32432432432432
3.45,129.1216216216216
3.475,129.05405405405406
3.5,128.64864864864865
3.5250000000000004,128.04054054054055
3.5500000000000003,127.36486486486487
3.575,126.62162162162163
3.6,125.87837837837837
3.625,134.1891891891892
3.6500000000000004,148.51351351351352
3.6750000000000003,162.36486486486487
3.7,171.0810810810811
3.725,170.06756756756758
3.75,167.90540540540542
3.7750000000000004,166.01351351351352
3.8000000000000003,164.59459459459458
3.825,163.3108108108108
3.85,162.22972972972974
3.875,161.35135135135135
3.9000000000000004,160.54054054054055
3.9250000000000003,159.7972972972973
3.95,159.25675675675674
3.975,158.9189189189189
4.0,158.3783783783784
4.025,157.56756756756758
4.05,156.95945945945945
4.075,156.35135135135135
4.1000000000000005,155.74324324324326
4.125,155.40540540540542
4.15,155.06756756756758
4.175,158.04054054054055
4.2,171.4189189189189
4.2250000000000005,186.21621621621622
4.25,198.9189189189189
4.275,201.4189189189189
4.3,197.02702702702703
4.325,196.14864864864865
4.3500000000000005,195.0
4.375,193.9189189189189
4.4,192.97297297297297
4.425,192.16216216216216
4.45,191.55405405405406
4.4750000000000005,191.6216216216216
4.5,190.33783783783784
4.525,190.54054054054055
4.55,189.86486486486487
4.575,189.45945945945945
4.6000000000000005,188.98648648648648
4.625,188.5810810810811
4.65,188.17567567567568
4.675,187.83783783783784
4.7,187.5
4.7250000000000005,187.09459459459458
4.75,186.75675675675674
4.775,186.48648648648648
4.800000000000001,186.14864864864865
4.825,185.94594594594594
4.8500000000000005,185.67567567567568
4.875,185.47297297297297
4.9,185.06756756756758
4.925000000000001,184.7972972972973
4.95,184.59459459459458
4.9750000000000005,184.66216216216216
5.0,184.45945945945945
5.025,183.98648648648648
5.050000000000001,183.85135135135135
5.075,183.5810810810811
5.1000000000000005,183.3108108108108
5.125,183.17567567567568
5.15,182.97297297297297
5.175000000000001,182.90540540540542
5.2,182.7027027027027
5.2250000000000005,182.43243243243242
5.25,182.16216216216216
5.275,182.09459459459458
5.300000000000001,181.6891891891892
5.325,181.21621621621622
5.3500000000000005,181.14864864864865
5.375,180.67567567567568
5.4,180.6081081081081
5.425000000000001,180.0
5.45,179.72972972972974
5.4750000000000005,179.59459459459458
5.5,179.3918918918919
5.525,178.85135135135135
5.550000000000001,178.3783783783784
