Pressure [mmHg],Time [s]
0.0,0.6103763987792472
0.025,0.678195998643608
0.05,0.4747371990505256
0.07500000000000001,0.4747371990505256
0.1,0.6103763987792472
0.125,0.5425567989148864
0.15000000000000002,0.4069175991861648
0.17500000000000002,0.5425567989148864
0.2,0.6103763987792472
0.225,0.5425567989148864
0.25,0.4747371990505256
0.275,0.5425567989148864
0.30000000000000004,1.2207527975584944
0.325,2.373685995252628
0.35000000000000003,1.356391997287216
0.375,1.4920311970159377
0.4,1.4242115971515767
0.42500000000000004,1.2207527975584944
0.45,1.1529331976941335
0.47500000000000003,1.356391997287216
0.5,1.1529331976941335
0.525,1.0851135978297728
0.55,1.1529331976941335
0.5750000000000001,1.2885723974228551
0.6000000000000001,1.0851135978297728
0.625,1.017293997965412
0.65,1.2207527975584944
0.675,1.2207527975584944
0.7000000000000001,0.9494743981010512
0.7250000000000001,1.017293997965412
0.75,1.2207527975584944
0.775,1.1529331976941335
0.8,0.9494743981010512
0.8250000000000001,1.0851135978297728
0.8500000000000001,1.1529331976941335
0.875,1.0851135978297728
0.9,1.0851135978297728
0.925,1.4920311970159377
0.9500000000000001,1.5598507968802984
0.9750000000000001,1.017293997965412
1.0,0.8816547982366904
1.0250000000000001,1.1529331976941335
1.05,1.0851135978297728
1.075,0.9494743981010512
1.1,0.8816547982366904
1.125,1.017293997965412
1.1500000000000001,1.017293997965412
1.175,0.8816547982366904
1.2000000000000002,1.017293997965412
1.225,1.0851135978297728
1.25,1.1529331976941335
1.2750000000000001,1.8989487962021023
1.3,2.2380467955239065
1.3250000000000002,2.1702271956595456
1.35,2.034587995930824
1.375,2.1024075957951847
1.4000000000000001,2.373685995252628
1.425,2.5093251949813498
1.4500000000000002,2.441505595116989
1.475,2.644964394710071
1.5,3.1875211936249577
1.5250000000000001,3.5944387928111223
1.55,3.7978975924042047
1.5750000000000002,3.9335367921329265
1.6,4.204815191590369
1.625,4.27263479145473
1.6500000000000001,4.679552390640895
1.675,5.222109189555781
1.7000000000000002,5.357748389284503
1.725,5.493387589013225
1.75,5.832485588335029
1.7750000000000001,6.510681586978637
1.8,6.849779586300441
1.8250000000000002,6.985418786029163
1.85,7.527975584944048
1.875,7.731434384537131
1.9000000000000001,7.934893184130214
1.925,8.273991183452017
1.9500000000000002,8.816547982366904
1.975,8.884367582231265
2.0,8.952187182095626
2.025,9.020006781959987
2.0500000000000003,9.155645981688709
2.075,9.087826381824348
2.1,9.087826381824348
2.125,9.698202780603594
2.15,10.308579179382841
2.1750000000000003,10.647677178704646
2.2,10.851135978297728
2.225,10.98677517802645
2.25,11.393692777212614
2.275,11.054594777890811
2.3000000000000003,10.512037978975924
2.325,10.579857578840285
2.35,10.24075957951848
2.375,9.155645981688709
2.4000000000000004,8.070532383858936
2.4250000000000003,7.731434384537131
2.45,7.053238385893523
2.475,6.646320786707358
2.5,6.510681586978637
2.5250000000000004,6.78195998643608
2.5500000000000003,7.053238385893523
2.575,6.917599186164802
2.6,6.849779586300441
2.625,7.121057985757884
2.6500000000000004,7.256697185486606
2.6750000000000003,7.256697185486606
2.7,7.3245167853509665
2.725,7.66361478467277
2.75,7.799253984401492
2.7750000000000004,7.934893184130214
2.8000000000000003,8.273991183452017
2.825,8.409630383180739
2.85,8.409630383180739
2.875,7.867073584265853
2.9000000000000004,6.035944387928112
2.9250000000000003,3.323160393353679
2.95,2.2380467955239065
2.975,1.8311291963377416
3.0,1.8311291963377416
3.0250000000000004,1.5598507968802984
3.0500000000000003,1.1529331976941335
3.075,1.2885723974228551
3.1,1.9667683960664633
3.125,2.034587995930824
3.1500000000000004,2.034587995930824
3.1750000000000003,2.441505595116989
3.2,3.1197015937605967
3.225,4.069175991861648
3.25,4.883011190233978
3.2750000000000004,5.832485588335029
3.3000000000000003,6.442861987114276
3.325,7.256697185486606
3.35,8.680908782638182
3.375,10.24075957951848
3.4000000000000004,11.80061037639878
3.4250000000000003,12.75008477449983
3.45,14.106476771787046
3.475,14.988131570023738
3.5,15.734147168531706
3.5250000000000004,15.937605968124789
3.5500000000000003,17.09053916581892
3.575,17.09053916581892
3.6,16.276703967446593
3.625,16.9548999660902
3.6500000000000004,17.158358765683282
3.6750000000000003,17.565276364869447
3.7,18.107833163784335
3.725,19.260766361478467
3.75,21.29535435740929
3.7750000000000004,22.85520515428959
3.8000000000000003,22.85520515428959
3.825,23.804679552390642
3.85,24.075957951848086
3.875,24.279416751441165
