Pulse
11
6
11
6
10
6
11
7
7
11
7
11
5
11
6
11
6
11
12746
15655
9523
10908
10611
9864
12704
13118
13865
13187
20963
14721
10081
9110
12519
11158
11761
14536
12579
11981
13398
21134
15370
11305
10097
12377
10525
13343
13922
13301
12250
12782
19841
17814
11874
10117
14711
11210
11589
14601
13293
12072
12927
19130
17976
12246
10190
12838
10874
10818
14281
13975
13296
12842
18307
17731
12109
9978
13799
11343
9187
12923
13813
11817
11613
17527
24129
14588
11185
11398
12026
10153
13782
14128
13442
12548
13622
24210
24223
14426
5033
13231
9870
9382
11658
12706
12112
12393
22666
24193
13710
5487
12909
9990
8198
11672
12457
12787
11069
14204
24215
19416
11293
7606
12333
9556
9770
12200
12277
12649
13607
14284
14635
23993
17442
12208
6027
11798
10778
10507
11733
12444
11995
12931
12763
13927
14115
14011
24043
20423
13032
7207
12442
10655
9178
11298
13064
12967
13349
13434
12195
12436
23037
22048
12572
6466
12812
9192
8066
11472
12440
12626
12287
13617
13005
12955
20889
23208
13424
9355
10260
10334
8164
11024
12525
13008
13742
12588
13019
12600
14801
23437
14607
12950
8563
11941
10300
11506
13386
13396
12814
11773
12184
11854
14391
22371
13565
10756
10278
11558
9361
11123
13253
12756
11765
11956
12093
12055
12449
19900
16199
12638
8585
11392
10887
10659
14046
14156
12191
11956
13202
13581
12466
12707
18511
18225
15020
10019
12818
10477
10338
13658
14240
12307
12824
12115
12623
13877
20593
15880
11359
7651
-1
