Tiempo (segundos),Presión (mmHg)
0.0,-0.47297297297297297
0.025,-0.47297297297297297
0.05,-0.5405405405405406
0.07500000000000001,-0.47297297297297297
0.1,-0.47297297297297297
0.125,-0.47297297297297297
0.15000000000000002,-0.47297297297297297
0.17500000000000002,-0.33783783783783783
0.2,-0.40540540540540543
0.225,-0.40540540540540543
0.25,-0.40540540540540543
0.275,-0.47297297297297297
0.30000000000000004,-0.47297297297297297
0.325,-0.40540540540540543
0.35000000000000003,-0.47297297297297297
0.375,-0.5405405405405406
0.4,-0.47297297297297297
0.42500000000000004,-0.47297297297297297
0.45,-0.47297297297297297
0.47500000000000003,-0.40540540540540543
0.5,-0.40540540540540543
0.525,0.40540540540540543
0.55,0.9459459459459459
0.5750000000000001,1.7567567567567568
0.6000000000000001,4.1891891891891895
0.625,8.04054054054054
0.65,12.837837837837839
0.675,16.62162162162162
0.7000000000000001,17.56756756756757
0.7250000000000001,16.41891891891892
0.75,15.608108108108109
0.775,15.27027027027027
0.8,14.864864864864865
0.8250000000000001,14.594594594594595
0.8500000000000001,14.45945945945946
0.875,14.256756756756756
0.9,16.95945945945946
0.925,24.324324324324323
0.9500000000000001,33.24324324324324
0.9750000000000001,40.067567567567565
1.0,41.013513513513516
1.0250000000000001,38.24324324324324
1.05,36.75675675675676
1.075,35.87837837837838
1.1,35.270270270270274
1.125,34.66216216216216
1.1500000000000001,34.25675675675676
1.175,33.851351351351354
1.2000000000000002,33.513513513513516
1.225,33.37837837837838
1.25,32.9054054054054
1.2750000000000001,39.391891891891895
1.3,49.86486486486486
1.3250000000000002,61.28378378378378
1.35,71.14864864864865
1.375,74.39189189189189
1.4000000000000001,71.14864864864865
1.425,68.85135135135135
1.4500000000000002,67.29729729729729
1.475,66.14864864864865
1.5,65.06756756756756
1.5250000000000001,64.12162162162163
1.55,63.24324324324324
1.5750000000000002,62.63513513513514
1.6,62.16216216216216
1.625,61.62162162162162
1.6500000000000001,61.148648648648646
1.675,63.04054054054054
1.7000000000000002,76.14864864864865
1.725,90.60810810810811
1.75,104.52702702702703
1.7750000000000001,114.5945945945946
1.8,117.36486486486487
1.8250000000000002,113.78378378378379
1.85,111.41891891891892
1.875,109.66216216216216
1.9000000000000001,108.24324324324324
1.925,107.29729729729729
1.9500000000000002,106.28378378378379
1.975,105.4054054054054
2.0,105.0
2.025,104.66216216216216
2.0500000000000003,104.05405405405405
2.075,103.37837837837837
2.1,102.77027027027027
2.125,102.22972972972973
2.15,109.45945945945945
2.1750000000000003,125.06756756756756
2.2,141.6216216216216
2.225,155.40540540540542
2.25,164.45945945945945
2.275,166.82432432432432
2.3000000000000003,163.78378378378378
2.325,161.4189189189189
2.35,159.86486486486487
2.375,158.44594594594594
2.4000000000000004,157.2972972972973
2.4250000000000003,156.35135135135135
2.45,155.67567567567568
2.475,154.7972972972973
2.5,154.1891891891892
2.5250000000000004,153.78378378378378
2.5500000000000003,152.97297297297297
2.575,152.56756756756758
2.6,152.02702702702703
2.625,151.21621621621622
2.6500000000000004,150.8108108108108
2.6750000000000003,153.17567567567568
2.7,171.35135135135135
2.725,189.7972972972973
2.75,206.35135135135135
2.7750000000000004,219.1891891891892
2.8000000000000003,225.06756756756758
2.825,222.63513513513513
2.85,220.0
2.875,218.24324324324326
2.9000000000000004,216.8918918918919
2.9250000000000003,215.74324324324326
2.95,214.66216216216216
2.975,213.85135135135135
3.0,212.97297297297297
3.0250000000000004,212.2972972972973
3.0500000000000003,211.6891891891892
3.075,211.0810810810811
3.1,210.40540540540542
3.125,210.0
3.1500000000000004,209.59459459459458
3.1750000000000003,208.98648648648648
3.2,208.71621621621622
3.225,213.78378378378378
3.25,228.71621621621622
3.2750000000000004,244.32432432432432
3.3000000000000003,258.1081081081081
3.325,268.1756756756757
3.35,273.1081081081081
3.375,270.6081081081081
3.4000000000000004,268.2432432432432
3.4250000000000003,266.8243243243243
3.45,265.3378378378378
3.475,264.3243243243243
3.5,263.31081081081084
3.5250000000000004,262.56756756756755
3.5500000000000003,261.8243243243243
3.575,261.35135135135135
3.6,260.4054054054054
3.625,260.0
3.6500000000000004,259.5945945945946
3.6750000000000003,259.05405405405406
3.7,258.7162162162162
3.725,258.0405405405405
3.75,257.77027027027026
3.7750000000000004,257.43243243243245
3.8000000000000003,257.1621621621622
3.825,256.68918918918916
3.85,256.2162162162162
3.875,256.0810810810811
3.9000000000000004,255.67567567567568
3.9250000000000003,255.40540540540542
3.95,255.13513513513513
3.975,254.7972972972973
4.0,254.45945945945945
4.025,254.1891891891892
4.05,253.9189189189189
4.075,253.44594594594594
4.1000000000000005,253.44594594594594
4.125,253.04054054054055
4.15,252.7027027027027
4.175,252.77027027027026
4.2,252.43243243243242
4.2250000000000005,252.09459459459458
4.25,251.8918918918919
4.275,251.6891891891892
4.3,251.55405405405406
4.325,251.28378378378378
4.3500000000000005,251.0810810810811
4.375,250.94594594594594
4.4,250.74324324324326
4.425,250.47297297297297
4.45,250.40540540540542
4.4750000000000005,250.13513513513513
4.5,249.93243243243242
4.525,249.72972972972974
4.55,249.66216216216216
4.575,249.25675675675674
4.6000000000000005,249.1216216216216
4.625,249.05405405405406
4.65,248.78378378378378
4.675,248.51351351351352
4.7,248.44594594594594
4.7250000000000005,248.24324324324326
4.75,248.1081081081081
4.775,247.7027027027027
4.800000000000001,247.56756756756758
4.825,247.43243243243242
4.8500000000000005,247.36486486486487
4.875,247.22972972972974
4.9,246.95945945945945
4.925000000000001,246.95945945945945
4.95,246.55405405405406
4.9750000000000005,246.48648648648648
5.0,246.48648648648648
5.025,246.21621621621622
5.050000000000001,246.01351351351352
5.075,245.8783783783784
5.1000000000000005,245.8108108108108
5.125,245.67567567567568
5.15,245.54054054054055
5.175000000000001,245.2027027027027
5.2,245.13513513513513
5.2250000000000005,244.66216216216216
5.25,244.3918918918919
5.275,244.59459459459458
5.300000000000001,244.59459459459458
5.325,244.45945945945945
5.3500000000000005,244.1891891891892
5.375,244.05405405405406
5.4,243.85135135135135
5.425000000000001,243.64864864864865
5.45,243.5810810810811
5.4750000000000005,243.3108108108108
5.5,243.1081081081081
5.525,243.1081081081081
5.550000000000001,242.90540540540542
5.575,242.77027027027026
5.6000000000000005,242.5
5.625,242.43243243243242
5.65,242.22972972972974
5.675000000000001,242.22972972972974
5.7,242.02702702702703
5.7250000000000005,241.8918918918919
5.75,241.82432432432432
5.775,241.6216216216216
5.800000000000001,241.35135135135135
5.825,241.28378378378378
5.8500000000000005,241.21621621621622
5.875,241.01351351351352
5.9,240.8108108108108
5.925000000000001,240.8108108108108
5.95,240.67567567567568
5.9750000000000005,240.6081081081081
6.0,240.40540540540542
6.025,240.2027027027027
6.050000000000001,240.2027027027027
6.075,240.0
6.1000000000000005,239.7972972972973
6.125,239.72972972972974
6.15,239.72972972972974
6.175000000000001,239.52702702702703
6.2,239.45945945945945
6.2250000000000005,239.32432432432432
6.25,239.32432432432432
6.275,239.32432432432432
6.300000000000001,239.1216216216216
6.325,238.98648648648648
6.3500000000000005,238.98648648648648
6.375,238.78378378378378
6.4,238.78378378378378
6.425000000000001,238.3108108108108
6.45,238.51351351351352
6.4750000000000005,238.3108108108108
6.5,238.24324324324326
6.525,238.3783783783784
6.550000000000001,238.1081081081081
6.575,238.17567567567568
6.6000000000000005,238.04054054054055
6.625,237.90540540540542
6.65,237.77027027027026
6.675000000000001,237.7027027027027
6.7,237.56756756756758
6.7250000000000005,237.5
6.75,237.5
6.775,237.2972972972973
6.800000000000001,237.16216216216216
6.825,237.22972972972974
6.8500000000000005,237.02702702702703
6.875,237.09459459459458
6.9,236.95945945945945
6.925000000000001,236.82432432432432
6.95,236.6891891891892
6.9750000000000005,236.55405405405406
7.0,236.4189189189189
7.025,236.48648648648648
7.050000000000001,236.35135135135135
7.075,236.21621621621622
7.1000000000000005,236.14864864864865
7.125,236.0810810810811
7.15,236.0810810810811
7.175000000000001,235.8783783783784
7.2,235.8108108108108
7.2250000000000005,235.6081081081081
7.25,235.54054054054055
7.275,235.54054054054055
7.300000000000001,235.27027027027026
7.325,235.06756756756758
7.3500000000000005,235.13513513513513
7.375,234.93243243243242
7.4,234.86486486486487
