Tiempo (segundos),Presión (mmHg)
0.0,0.0
0.1,0.0
0.2,0.0
0.30000000000000004,0.0
0.4,-0.06756756756756757
0.5,0.0
0.6000000000000001,-0.13513513513513514
0.7000000000000001,-0.06756756756756757
0.8,2.5
0.9,4.72972972972973
1.0,3.9864864864864864
1.1,3.581081081081081
1.2000000000000002,8.783783783783784
1.3,10.202702702702704
1.4000000000000001,9.18918918918919
1.5,9.932432432432432
1.6,18.175675675675677
1.7000000000000002,15.54054054054054
1.8,14.797297297297296
1.9000000000000001,23.31081081081081
2.0,28.04054054054054
2.1,25.945945945945947
2.2,25.0
2.3000000000000003,43.78378378378378
2.4000000000000004,48.91891891891892
2.5,46.351351351351354
2.6,46.21621621621622
2.7,76.62162162162163
2.8000000000000003,72.77027027027027
2.9000000000000004,70.27027027027027
3.0,76.08108108108108
3.1,102.83783783783784
3.2,97.5
3.3000000000000003,94.86486486486487
3.4000000000000004,108.78378378378379
3.5,130.6081081081081
3.6,125.74324324324324
3.7,123.51351351351352
3.8000000000000003,124.86486486486487
3.9000000000000004,167.97297297297297
4.0,163.04054054054055
4.1000000000000005,160.27027027027026
4.2,158.1081081081081
4.3,156.8918918918919
4.4,155.8783783783784
4.5,155.0
4.6000000000000005,154.1891891891892
4.7,153.64864864864865
4.800000000000001,152.90540540540542
4.9,152.22972972972974
5.0,151.6891891891892
5.1000000000000005,151.0810810810811
5.2,150.54054054054055
5.300000000000001,149.7972972972973
5.4,149.3918918918919
5.5,149.05405405405406
5.6000000000000005,148.64864864864865
5.7,148.3108108108108
5.800000000000001,148.04054054054055
5.9,147.77027027027026
6.0,147.43243243243242
6.1000000000000005,147.09459459459458
6.2,146.8918918918919
6.300000000000001,146.6891891891892
6.4,146.35135135135135
6.5,146.0810810810811
6.6000000000000005,145.8783783783784
6.7,145.54054054054055
6.800000000000001,145.33783783783784
6.9,145.06756756756758
7.0,144.7972972972973
7.1000000000000005,144.59459459459458
7.2,144.1891891891892
7.300000000000001,144.1216216216216
7.4,143.78378378378378
7.5,143.5810810810811
7.6000000000000005,143.3783783783784
7.7,143.17567567567568
7.800000000000001,143.1081081081081
7.9,142.7027027027027
8.0,142.56756756756758
8.1,142.43243243243242
8.200000000000001,142.16216216216216
8.3,142.02702702702703
8.4,141.75675675675674
8.5,141.6891891891892
8.6,141.4189189189189
8.700000000000001,141.28378378378378
8.8,140.8783783783784
8.9,140.67567567567568
9.0,140.67567567567568
9.1,140.47297297297297
9.200000000000001,140.33783783783784
9.3,139.93243243243242
9.4,139.86486486486487
9.5,139.86486486486487
9.600000000000001,139.52702702702703
9.700000000000001,139.3918918918919
9.8,139.05405405405406
9.9,138.9189189189189
10.0,138.71621621621622
10.100000000000001,138.51351351351352
10.200000000000001,138.51351351351352
10.3,138.51351351351352
10.4,138.24324324324326
10.5,138.1081081081081
10.600000000000001,138.04054054054055
10.700000000000001,137.90540540540542
10.8,137.7027027027027
10.9,137.63513513513513
11.0,137.36486486486487
11.100000000000001,137.2972972972973
11.200000000000001,137.09459459459458
11.3,136.95945945945945
11.4,136.75675675675674
11.5,136.55405405405406
11.600000000000001,136.28378378378378
11.700000000000001,136.01351351351352
11.8,135.74324324324326
11.9,135.67567567567568
12.0,135.33783783783784
12.100000000000001,134.93243243243242
12.200000000000001,134.52702702702703
12.3,133.98648648648648
12.4,133.1081081081081
12.5,132.22972972972974
12.600000000000001,131.35135135135135
12.700000000000001,130.6081081081081
12.8,130.0
12.9,129.25675675675674
13.0,128.64864864864865
13.100000000000001,128.04054054054055
13.200000000000001,127.56756756756756
13.3,127.02702702702703
13.4,126.62162162162163
13.5,125.94594594594595
13.600000000000001,125.8108108108108
13.700000000000001,125.4054054054054
13.8,124.86486486486487
13.9,124.52702702702703
14.0,124.1891891891892
14.100000000000001,123.85135135135135
14.200000000000001,123.44594594594595
14.3,122.9054054054054
14.4,122.56756756756756
14.5,121.62162162162163
14.600000000000001,120.74324324324324
14.700000000000001,119.5945945945946
14.8,118.24324324324324
14.9,116.82432432432432
15.0,115.4054054054054
15.100000000000001,114.05405405405405
15.200000000000001,112.70270270270271
15.3,110.87837837837837
15.4,108.85135135135135
15.5,107.02702702702703
15.600000000000001,105.27027027027027
15.700000000000001,103.71621621621621
15.8,102.22972972972973
15.9,100.8108108108108
16.0,100.0
16.1,98.64864864864865
16.2,96.95945945945945
16.3,95.94594594594595
16.400000000000002,94.5945945945946
16.5,93.37837837837837
16.6,92.16216216216216
16.7,91.08108108108108
16.8,90.0
16.900000000000002,89.52702702702703
17.0,87.83783783783784
17.1,85.94594594594595
17.2,84.32432432432432
17.3,82.63513513513513
17.400000000000002,81.01351351351352
17.5,79.45945945945945
17.6,77.97297297297297
17.7,77.36486486486487
17.8,75.60810810810811
17.900000000000002,73.98648648648648
18.0,72.43243243243244
18.1,70.60810810810811
18.2,68.98648648648648
18.3,67.22972972972973
18.400000000000002,65.67567567567568
18.5,65.33783783783784
18.6,64.12162162162163
18.7,62.567567567567565
18.8,61.21621621621622
18.900000000000002,59.66216216216216
19.0,58.108108108108105
19.1,56.486486486486484
19.200000000000003,54.7972972972973
19.3,53.513513513513516
19.400000000000002,52.5
19.5,51.08108108108108
19.6,49.527027027027025
19.700000000000003,47.972972972972975
19.8,46.554054054054056
19.900000000000002,45.13513513513514
20.0,43.71621621621622
20.1,42.2972972972973
20.200000000000003,41.28378378378378
20.3,40.067567567567565
20.400000000000002,38.78378378378378
20.5,37.7027027027027
20.6,36.554054054054056
20.700000000000003,35.4054054054054
20.8,34.391891891891895
20.900000000000002,33.310810810810814
21.0,32.567567567567565
21.1,31.554054054054053
21.200000000000003,30.60810810810811
21.3,29.72972972972973
21.400000000000002,28.716216216216218
21.5,27.77027027027027
21.6,26.89189189189189
21.700000000000003,26.14864864864865
21.8,25.33783783783784
21.900000000000002,24.66216216216216
22.0,24.054054054054053
22.1,23.37837837837838
22.200000000000003,22.83783783783784
22.3,22.094594594594593
22.400000000000002,21.554054054054053
22.5,20.81081081081081
22.6,20.27027027027027
22.700000000000003,19.66216216216216
22.8,19.054054054054053
22.900000000000002,18.58108108108108
23.0,17.905405405405407
23.1,17.43243243243243
23.200000000000003,16.824324324324323
23.3,16.35135135135135
23.400000000000002,15.878378378378379
23.5,15.472972972972974
23.6,15.067567567567568
23.700000000000003,14.662162162162161
23.8,14.324324324324325
23.900000000000002,13.91891891891892
24.0,13.513513513513514
24.1,13.108108108108109
24.200000000000003,12.702702702702704
24.3,12.5
24.400000000000002,12.094594594594595
24.5,11.891891891891891
24.6,11.621621621621621
24.700000000000003,11.283783783783784
24.8,11.08108108108108
24.900000000000002,10.743243243243244
25.0,10.472972972972974
25.1,10.202702702702704
25.200000000000003,10.0
25.3,9.797297297297296
25.400000000000002,9.527027027027026
25.5,9.18918918918919
25.6,8.85135135135135
25.700000000000003,8.513513513513514
25.8,8.175675675675675
25.900000000000002,7.905405405405405
26.0,7.635135135135135
26.1,7.4324324324324325
26.200000000000003,7.22972972972973
26.3,6.891891891891892
26.400000000000002,6.756756756756757
26.5,6.486486486486487
26.6,6.351351351351352
26.700000000000003,6.148648648648648
26.8,5.878378378378378
26.900000000000002,5.743243243243243
27.0,5.472972972972973
27.1,5.27027027027027
27.200000000000003,5.0675675675675675
27.3,4.9324324324324325
27.400000000000002,4.72972972972973
27.5,4.527027027027027
27.6,4.45945945945946
27.700000000000003,4.256756756756757
27.8,4.256756756756757
27.900000000000002,4.324324324324325
28.0,4.256756756756757
28.1,4.054054054054054
28.200000000000003,3.7162162162162162
28.3,3.5135135135135136
28.400000000000002,3.175675675675676
