Tiempo (segundos),Presión (mmHg)
0.0,-0.06756756756756757
0.1,-0.06756756756756757
0.2,0.0
0.30000000000000004,-0.06756756756756757
0.4,0.0
0.5,0.0
0.6000000000000001,0.20270270270270271
0.7000000000000001,2.2972972972972974
0.8,4.594594594594595
0.9,2.2972972972972974
1.0,1.6216216216216217
1.1,1.2162162162162162
1.2000000000000002,0.9459459459459459
1.3,3.3783783783783785
1.4000000000000001,4.72972972972973
1.5,3.5135135135135136
1.6,2.972972972972973
1.7000000000000002,2.5
1.8,2.1621621621621623
1.9000000000000001,1.8243243243243243
2.0,1.6216216216216217
2.1,1.4189189189189189
2.2,1.2162162162162162
2.3000000000000003,1.1486486486486487
2.4000000000000004,1.0135135135135136
2.5,0.8783783783783784
2.6,0.8108108108108109
2.7,0.7432432432432432
2.8000000000000003,0.8108108108108109
2.9000000000000004,0.7432432432432432
3.0,0.8108108108108109
3.1,0.8108108108108109
3.2,0.8108108108108109
3.3000000000000003,0.8783783783783784
3.4000000000000004,0.8108108108108109
3.5,0.8783783783783784
3.6,0.8108108108108109
3.7,0.8783783783783784
3.8000000000000003,0.8783783783783784
3.9000000000000004,0.8783783783783784
4.0,0.9459459459459459
4.1000000000000005,0.8783783783783784
4.2,0.9459459459459459
4.3,0.8783783783783784
4.4,0.8783783783783784
4.5,0.8783783783783784
4.6000000000000005,0.8783783783783784
4.7,0.8783783783783784
4.800000000000001,1.0135135135135136
4.9,0.9459459459459459
5.0,1.0135135135135136
5.1000000000000005,0.9459459459459459
5.2,1.0135135135135136
5.300000000000001,0.8783783783783784
5.4,1.0135135135135136
5.5,0.8783783783783784
5.6000000000000005,0.8783783783783784
5.7,0.8783783783783784
5.800000000000001,0.8783783783783784
5.9,0.9459459459459459
6.0,0.9459459459459459
6.1000000000000005,0.9459459459459459
6.2,0.9459459459459459
6.300000000000001,1.0810810810810811
6.4,1.0810810810810811
6.5,1.4189189189189189
6.6000000000000005,3.0405405405405403
6.7,5.675675675675675
6.800000000000001,5.405405405405405
6.9,4.9324324324324325
7.0,4.391891891891892
7.1000000000000005,4.72972972972973
7.2,7.5675675675675675
7.300000000000001,7.77027027027027
7.4,6.554054054054054
7.5,5.472972972972973
7.6000000000000005,5.743243243243243
7.7,9.72972972972973
7.800000000000001,10.405405405405405
7.9,9.45945945945946
8.0,9.121621621621621
8.1,11.216216216216216
8.200000000000001,19.256756756756758
8.3,17.43243243243243
8.4,16.486486486486488
8.5,16.013513513513512
8.6,16.95945945945946
8.700000000000001,28.716216216216218
8.8,30.27027027027027
8.9,28.04054054054054
9.0,26.95945945945946
9.1,26.216216216216218
9.200000000000001,25.87837837837838
9.3,33.78378378378378
9.4,47.7027027027027
9.5,43.71621621621622
9.600000000000001,41.689189189189186
9.700000000000001,40.74324324324324
9.8,40.067567567567565
9.9,39.66216216216216
10.0,39.45945945945946
10.100000000000001,39.054054054054056
10.200000000000001,58.58108108108108
10.3,60.945945945945944
10.4,58.17567567567568
10.5,56.689189189189186
10.600000000000001,55.945945945945944
10.700000000000001,55.54054054054054
10.8,54.729729729729726
10.9,54.25675675675676
11.0,53.78378378378378
11.100000000000001,53.37837837837838
11.200000000000001,53.04054054054054
11.3,79.93243243243244
11.4,82.70270270270271
11.5,79.5945945945946
11.600000000000001,77.77027027027027
11.700000000000001,76.55405405405405
11.8,75.47297297297297
11.9,74.52702702702703
12.0,73.78378378378379
12.100000000000001,74.79729729729729
12.200000000000001,74.25675675675676
12.3,92.77027027027027
12.4,100.54054054054055
12.5,97.22972972972973
12.600000000000001,95.54054054054055
12.700000000000001,94.25675675675676
12.8,95.0
12.9,94.39189189189189
13.0,93.17567567567568
13.100000000000001,92.16216216216216
13.200000000000001,91.28378378378379
13.3,90.74324324324324
13.4,90.33783783783784
13.5,96.35135135135135
13.600000000000001,118.51351351351352
13.700000000000001,114.1891891891892
13.8,112.5
13.9,111.14864864864865
14.0,110.20270270270271
14.100000000000001,109.39189189189189
14.200000000000001,109.45945945945945
14.3,109.45945945945945
14.4,108.10810810810811
14.5,107.83783783783784
14.600000000000001,107.16216216216216
14.700000000000001,106.6891891891892
14.8,111.41891891891892
14.9,133.71621621621622
