reference_col,device_col,n_pairs,mean_ref,mean_dev,mean_diff_ref_minus_dev,sd_diff,loa_low,loa_high,MAE_mmHg,RMSE_mmHg,MedAE_mmHg,Percent_error_mean_%,Pearson_r,Pearson_p,Lins_CCC,Deming_slope,Deming_intercept,Spearman_absdiff_vs_mean_r,Spearman_p
SYS_Real,SYS_Measured,20,117.2,123.275,-6.075,15.13907022800347,-35.7475776468868,23.5975776468868,12.075,15.957365070712646,9.75,10.632587864362124,0.2521465420827489,0.28350646171024446,0.20067526126626956,4.189734318713479,-367.7618621532198,-0.03766485021844087,0.8747312869945736
DIA_Real,DIA_Measured,20,73.175,80.05,-6.875,10.397209899016683,-27.2535314020727,13.5035314020727,9.525,12.245917687131495,7.75,12.986490884677348,0.6168338901570153,0.0037683153214387206,0.443141002250108,2.31359900427504,-89.24760713782602,0.44239470373817363,0.05079528987398412
PPM_Real,PPM_Measured,20,74.025,80.825,-6.8,13.622156873811754,-33.49942747267104,19.899427472671036,9.6,14.917271868542183,6.75,13.136080298030997,0.4181904631594162,0.06651724946092187,0.2974468550080676,3.5318536999636665,-180.62047013981044,0.36896033489370633,0.10940493858403032
