reference,device,mean_ref_dev,diff_ref_minus_dev
78.0,84.0,81.0,-6.0
71.5,88.5,80.0,-17.0
66.5,73.0,69.75,-6.5
85.0,77.5,81.25,7.5
59.0,70.5,64.75,-11.5
71.0,78.0,74.5,-7.0
69.0,64.0,66.5,5.0
74.5,75.0,74.75,-0.5
72.5,86.0,79.25,-13.5
66.0,61.0,63.5,5.0
76.5,84.0,80.25,-7.5
63.0,61.5,62.25,1.5
81.5,76.5,79.0,5.0
74.0,130.0,102.0,-56.0
71.0,85.5,78.25,-14.5
77.0,85.5,81.25,-8.5
82.0,90.0,86.0,-8.0
68.0,70.5,69.25,-2.5
88.5,93.5,91.0,-5.0
86.0,82.0,84.0,4.0
