reference,device,mean_ref_dev,diff_ref_minus_dev
78.5,82.0,80.25,-3.5
71.0,85.5,78.25,-14.5
66.0,74.0,70.0,-8.0
85.5,77.0,81.25,8.5
59.5,68.0,63.75,-8.5
71.5,66.5,69.0,5.0
69.5,97.0,83.25,-27.5
74.0,93.5,83.75,-19.5
72.0,85.5,78.75,-13.5
66.5,61.5,64.0,5.0
76.0,76.5,76.25,-0.5
63.5,60.0,61.75,3.5
81.0,104.5,92.75,-23.5
74.5,83.5,79.0,-9.0
71.5,69.0,70.25,2.5
77.5,85.0,81.25,-7.5
82.5,104.0,93.25,-21.5
59.5,63.5,61.5,-4.0
83.0,86.0,84.5,-3.0
80.5,78.5,79.5,2.0
